,index,alignment,equation,solutions,question,Type,Clean,pred
132,254,"[10, 44]",['X=(7.0*7.0)'],[49.0],Sarah has 7 boxes of apples. Each box holds 7 apples. How many apples does Sarah have?,Multiplication,sarah has boxes of apples each box holds apples how many apples does sarah have,Multiplication
133,258,"[11, 46]",['X=(8.0*7.0)'],[56.0],Martin has 8 boxes of crayons. Each box holds 7 crayons. How many crayons does Martin have?,Multiplication,martin has boxes of crayons each box holds crayons how many crayons does martin have,Multiplication
134,261,"[10, 65]",['X=(9.0*6.0)'],[54.0],There are 9 bottle caps in each box. How many bottle caps are in 6 boxes?,Multiplication,there are bottle caps in each box how many bottle caps are in boxes,Multiplication
135,262,"[10, 45]",['X=(6.0*4.0)'],[24.0],Paula has 6 boxes of peanuts. Each box holds 4 peanuts. How many peanuts does Paula have?,Multiplication,paula has boxes of peanuts each box holds peanuts how many peanuts does paula have,Multiplication
136,263,"[9, 44]",['X=(3.0*9.0)'],[27.0],Eric has 3 boxes of pencils. Each box holds 9 pencils. How many pencils does Eric have?,Multiplication,eric has boxes of pencils each box holds pencils how many pencils does eric have,Multiplication
137,264,"[10, 57]",['X=(6.0*3.0)'],[18.0],There are 6 marbles in each box. How many marbles are in 3 boxes?,Multiplication,there are marbles in each box how many marbles are in boxes,Multiplication
138,265,"[27, 56]",['X=(3.0*7.0)'],[21.0],Kimberly went to the store 3 times last month. She buys 7 peanuts each time she goes to the store. How many peanuts did Kimberly buy last month?,Multiplication,kimberly went to the store times last month she buys peanuts each time she goes to the store how many peanuts did kimberly buy last month,Multiplication
139,267,"[25, 53]",['X=(2.0*10.0)'],[20.0],Ronald went to the store 2 times last month. He buys 10 bananas each time he goes to the store. How many bananas did Ronald buy last month?,Multiplication,ronald went to the store times last month he buys bananas each time he goes to the store how many bananas did ronald buy last month,Multiplication
140,270,"[27, 56]",['X=(5.0*5.0)'],[25.0],Kathleen went to the store 5 times last month. She buys 5 bottle caps each time she goes to the store. How many bottle caps did Kathleen buy last month?,Multiplication,kathleen went to the store times last month she buys bottle caps each time she goes to the store how many bottle caps did kathleen buy last month,Multiplication
141,272,"[10, 57]",['X=(4.0*3.0)'],[12.0],There are 4 crayons in each box. How many crayons are in 3 boxes?,Multiplication,there are crayons in each box how many crayons are in boxes,Multiplication
142,277,"[27, 56]",['X=(3.0*7.0)'],[21.0],Kimberly went to the store 3 times last month. She buys 7 peanuts each time she goes to the store. How many peanuts did Kimberly buy last month?,Multiplication,kimberly went to the store times last month she buys peanuts each time she goes to the store how many peanuts did kimberly buy last month,Multiplication
143,340,"[47, 63]",['X=(14.0/2.0)'],[7.0],The school is planning a field trip. There are 14 students and 2 seats on each school bus. How many buses are needed to take the trip?,Division,the school is planning a field trip there are students and seats on each school bus how many buses are needed to take the trip,Division
144,341,"[10, 51]",['X=(24.0/3.0)'],[8.0],"Betty has 24 oranges stored in boxes. If there are 3 boxes, how many oranges must go in each box?",Division,betty has oranges stored in boxes if there are boxes how many oranges must go in each box,Division
145,342,"[47, 62]",['X=(9.0/3.0)'],[3.0],The school is planning a field trip. There are 9 students and 3 seats on each school bus. How many buses are needed to take the trip?,Division,the school is planning a field trip there are students and seats on each school bus how many buses are needed to take the trip,Division
146,343,"[38, 10]",['X=(18.0/2.0)'],[9.0],"There are 2 students in the class and 18 pencils. If the pencils are divided equally among the students, how many does each student get?",Division,there are students in the class and pencils if the pencils are divided equally among the students how many does each student get,Division
147,344,"[38, 10]",['X=(81.0/9.0)'],[9.0],"There are 9 students in the class and 81 tickets. If the tickets are divided equally among the students, how many does each student get?",Division,there are students in the class and tickets if the tickets are divided equally among the students how many does each student get,Division
148,345,"[10, 99]",['X=(35.0/7.0)'],[5.0],"There are 35 bottle caps in Beverly's bottle cap collection. If the bottle caps are organized into 7 groups, how big is each group?",Division,there are bottle caps in beverlys bottle cap collection if the bottle caps are organized into groups how big is each group,Division
149,346,"[81, 66]",['X=(12.0/2.0)'],[6.0],Jeffrey wants to split a collection of bottle caps into groups of 2. Jeffrey has 12 bottle caps. How many groups will be created?,Division,jeffrey wants to split a collection of bottle caps into groups of jeffrey has bottle caps how many groups will be created,Division
150,347,"[38, 10]",['X=(81.0/9.0)'],[9.0],"There are 9 students in the class and 81 tickets. If the tickets are divided equally among the students, how many does each student get?",Division,there are students in the class and tickets if the tickets are divided equally among the students how many does each student get,Division
151,348,"[10, 50]",['X=(3.0/3.0)'],[1.0],"Peter has 3 candies stored in boxes. If there are 3 boxes, how many candies must go in each box?",Division,peter has candies stored in boxes if there are boxes how many candies must go in each box,Division
152,349,"[38, 10]",['X=(42.0/7.0)'],[6.0],"There are 7 students in the class and 42 apples. If the apples are divided equally among the students, how many does each student get?",Division,there are students in the class and apples if the apples are divided equally among the students how many does each student get,Division
153,350,"[49, 19]",['X=(12.0/4.0)'],[3.0],Martha is inviting 4 friends to a party. She has 12 cookies. How many cookies will each friend get?,Division,martha is inviting friends to a party she has cookies how many cookies will each friend get,Division
154,351,"[10, 46]",['X=(21.0/3.0)'],[7.0],"Jesse has 21 bananas. If he shares them among 3 friends, how many bananas does each friend get?",Division,jesse has bananas if he shares them among friends how many bananas does each friend get,Division
155,352,"[38, 10]",['X=(56.0/7.0)'],[8.0],"There are 7 students in the class and 56 eggs. If the eggs are divided equally among the students, how many does each student get?",Division,there are students in the class and eggs if the eggs are divided equally among the students how many does each student get,Division
156,353,"[22, 52]",['X=(5.0/5.0)'],[1.0],Elizabeth is inviting 5 friends to a party. She has 5 cookies. How many cookies will each friend get?,Division,elizabeth is inviting friends to a party she has cookies how many cookies will each friend get,Division
157,354,"[10, 78]",['X=(72.0/9.0)'],[8.0],"There are 72 cards in Jean's card collection. If the cards are organized into 9 groups, how big is each group?",Division,there are cards in jeans card collection if the cards are organized into groups how big is each group,Division
158,355,"[71, 59]",['X=(64.0/8.0)'],[8.0],Eric wants to split a collection of peanuts into groups of 8. Eric has 64 peanuts. How many groups will be created?,Division,eric wants to split a collection of peanuts into groups of eric has peanuts how many groups will be created,Division
159,357,"[73, 60]",['X=(42.0/6.0)'],[7.0],Henry wants to split a collection of crayons into groups of 6. Henry has 42 crayons. How many groups will be created?,Division,henry wants to split a collection of crayons into groups of henry has crayons how many groups will be created,Division
160,358,"[17, 46]",['X=(4.0/4.0)'],[1.0],Jack is inviting 4 friends to a party. He has 4 cookies. How many cookies will each friend get?,Division,jack is inviting friends to a party he has cookies how many cookies will each friend get,Division
161,359,"[47, 18]",['X=(12.0/3.0)'],[4.0],Harry is inviting 3 friends to a party. He has 12 cookies. How many cookies will each friend get?,Division,harry is inviting friends to a party he has cookies how many cookies will each friend get,Division
162,360,"[10, 84]",['X=(30.0/10.0)'],[3.0],"There are 30 candies in Kathy's candy collection. If the candies are organized into 10 groups, how big is each group?",Division,there are candies in kathys candy collection if the candies are organized into groups how big is each group,Division
163,363,"[51, 20]",['X=(80.0/10.0)'],[8.0],Deborah is inviting 10 friends to a party. She has 80 cookies. How many cookies will each friend get?,Division,deborah is inviting friends to a party she has cookies how many cookies will each friend get,Division
164,365,"[47, 63]",['X=(28.0/7.0)'],[4.0],The school is planning a field trip. There are 28 students and 7 seats on each school bus. How many buses are needed to take the trip?,Division,the school is planning a field trip there are students and seats on each school bus how many buses are needed to take the trip,Division
165,367,"[10, 85]",['X=(36.0/6.0)'],[6.0],"There are 36 bananas in Diane's banana collection. If the bananas are organized into 6 groups, how big is each group?",Division,there are bananas in dianes banana collection if the bananas are organized into groups how big is each group,Division
166,371,"[10, 85]",['X=(36.0/6.0)'],[6.0],"There are 36 bananas in Diane's banana collection. If the bananas are organized into 6 groups, how big is each group?",Division,there are bananas in dianes banana collection if the bananas are organized into groups how big is each group,Division
167,372,"[11, 52]",['X=(42.0/7.0)'],[6.0],"Louise has 42 oranges stored in boxes. If there are 7 boxes, how many oranges must go in each box?",Division,louise has oranges stored in boxes if there are boxes how many oranges must go in each box,Division
168,374,"[47, 63]",['X=(45.0/9.0)'],[5.0],The school is planning a field trip. There are 45 students and 9 seats on each school bus. How many buses are needed to take the trip?,Division,the school is planning a field trip there are students and seats on each school bus how many buses are needed to take the trip,Division
169,380,"[12, 52]",['X=(16.0/8.0)'],[2.0],"Michael has 16 blocks stored in boxes. If there are 8 boxes, how many blocks must go in each box?",Division,michael has blocks stored in boxes if there are boxes how many blocks must go in each box,Division
170,381,"[11, 52]",['X=(35.0/7.0)'],[5.0],"Albert has 35 oranges stored in boxes. If there are 7 boxes, how many oranges must go in each box?",Division,albert has oranges stored in boxes if there are boxes how many oranges must go in each box,Division
171,384,"[9, 46]",['X=(30.0/5.0)'],[6.0],"Lori has 30 marbles. If she shares them among 5 friends, how many marbles does each friend get?",Division,lori has marbles if she shares them among friends how many marbles does each friend get,Division
172,388,"[76, 61]",['X=(270.0/90.0)'],[3.0],Brenda wants to split a collection of erasers into groups of 90. Brenda has 270 erasers. How many groups will be created?,Division,brenda wants to split a collection of erasers into groups of brenda has erasers how many groups will be created,Division
173,393,"[47, 64]",['X=(180.0/60.0)'],[3.0],The school is planning a field trip. There are 180 students and 60 seats on each school bus. How many buses are needed to take the trip?,Division,the school is planning a field trip there are students and seats on each school bus how many buses are needed to take the trip,Division
174,395,"[11, 48]",['X=(10.0/2.0)'],[5.0],"Bonnie has 10 tickets. If she shares them among 2 friends, how many tickets does each friend get?",Division,bonnie has tickets if she shares them among friends how many tickets does each friend get,Division
175,396,"[73, 59]",['X=(30.0/6.0)'],[5.0],Steven wants to split a collection of cards into groups of 6. Steven has 30 cards. How many groups will be created?,Division,steven wants to split a collection of cards into groups of steven has cards how many groups will be created,Division
176,403,"[9, 47]",['X=(9306.0/99.0)'],[94.0],"Eric has 9306 erasers. If he shares them among 99 friends, how many erasers does each friend get?",Division,eric has erasers if he shares them among friends how many erasers does each friend get,Division
177,405,"[10, 49]",['X=(3840.0/48.0)'],[80.0],"Diana has 3840 erasers. If she shares them among 48 friends, how many erasers does each friend get?",Division,diana has erasers if she shares them among friends how many erasers does each friend get,Division
178,440,"[12, 50]",['X=(12.0/12.0)'],[1.0],"Ashley sold 12 boxes of Samoas. How many cases of 12 boxes, plus extra boxes does Ashley need?",Division,ashley sold boxes of samoas how many cases of boxes plus extra boxes does ashley need,Division
179,441,"[12, 50]",['X=(12.0/12.0)'],[1.0],"Ashley sold 12 boxes of Samoas. How many cases of 12 boxes, plus extra boxes does Ashley need?",Division,ashley sold boxes of samoas how many cases of boxes plus extra boxes does ashley need,Division
180,442,"[12, 50]",['X=(12.0/12.0)'],[1.0],"Ashley sold 12 boxes of Samoas. How many cases of 12 boxes, plus extra boxes does Ashley need?",Division,ashley sold boxes of samoas how many cases of boxes plus extra boxes does ashley need,Division
181,443,"[12, 50]",['X=(12.0/12.0)'],[1.0],"Ashley sold 12 boxes of Samoas. How many cases of 12 boxes, plus extra boxes does Ashley need?",Division,ashley sold boxes of samoas how many cases of boxes plus extra boxes does ashley need,Division
182,444,"[11, 62]",['X=(24.0/12.0)'],[2.0],"Sarah sold 24 boxes of Lemon Chalet Cremes. How many cases of 12 boxes, plus extra boxes does Sarah need?",Division,sarah sold boxes of lemon chalet cremes how many cases of boxes plus extra boxes does sarah need,Division
183,446,"[14, 55]",['X=(36.0/12.0)'],[3.0],"If Karen sold 36 boxes of Tagalongs, how many cases of 12 boxes does Karen pickup from the cookie mom?",Division,if karen sold boxes of tagalongs how many cases of boxes does karen pickup from the cookie mom,Division
184,447,"[14, 55]",['X=(36.0/12.0)'],[3.0],"If Karen sold 36 boxes of Tagalongs, how many cases of 12 boxes does Karen pickup from the cookie mom?",Division,if karen sold boxes of tagalongs how many cases of boxes does karen pickup from the cookie mom,Division
185,448,"[14, 55]",['X=(36.0/12.0)'],[3.0],"If Karen sold 36 boxes of Tagalongs, how many cases of 12 boxes does Karen pickup from the cookie mom?",Division,if karen sold boxes of tagalongs how many cases of boxes does karen pickup from the cookie mom,Division
186,449,"[16, 57]",['X=(24.0/12.0)'],[2.0],"If Madison sold 24 boxes of Tagalongs, how many cases of 12 boxes does Madison pickup from the cookie mom?",Division,if madison sold boxes of tagalongs how many cases of boxes does madison pickup from the cookie mom,Division
187,450,"[14, 55]",['X=(36.0/12.0)'],[3.0],"If Karen sold 36 boxes of Tagalongs, how many cases of 12 boxes does Karen pickup from the cookie mom?",Division,if karen sold boxes of tagalongs how many cases of boxes does karen pickup from the cookie mom,Division
188,453,"[16, 34]",['X=(15.0/3.0)'],[5.0],"If Harold split 15 apples between 3 people in her class and kept the left overs, how many apples did each classmate get?",Division,if harold split apples between people in her class and kept the left overs how many apples did each classmate get,Division
189,454,"[16, 36]",['X=(25.0/5.0)'],[5.0],"If Victor split 25 Skittles between 5 people in her class and kept the left overs, how many Skittles did each classmate get?",Division,if victor split skittles between people in her class and kept the left overs how many skittles did each classmate get,Division
190,455,"[11, 51]",['X=(24.0/8.0)'],[3.0],"Jenny sold 24 boxes of Trefoils. How many cases of 8 boxes, plus extra boxes does Jenny need to deliver?",Division,jenny sold boxes of trefoils how many cases of boxes plus extra boxes does jenny need to deliver,Division
191,456,"[43, 29]",['X=(20.0/5.0)'],[4.0],Gumballs come in packages of 5. Nathan ate 20 gumballs. How many whole boxes did he eat and how many gumballs does he have left?,Division,gumballs come in packages of nathan ate gumballs how many whole boxes did he eat and how many gumballs does he have left,Multiplication
192,457,"[13, 54]",['X=(20.0/4.0)'],[5.0],"Shirley sold 20 boxes of Do-Si-Dos. How many cases of 4 boxes, plus extra boxes does Shirley need to deliver?",Division,shirley sold boxes of dosidos how many cases of boxes plus extra boxes does shirley need to deliver,Division
193,458,"[45, 32]",['X=(54.0/6.0)'],[9.0],Lemon heads come in packages of 6. Louis ate 54 Lemon Heads. How many whole boxes did he eat and how many Lemon Heads does he have left?,Division,lemon heads come in packages of louis ate lemon heads how many whole boxes did he eat and how many lemon heads does he have left,Division
194,459,"[45, 32]",['X=(54.0/6.0)'],[9.0],Lemon heads come in packages of 6. Louis ate 54 Lemon Heads. How many whole boxes did he eat and how many Lemon Heads does he have left?,Division,lemon heads come in packages of louis ate lemon heads how many whole boxes did he eat and how many lemon heads does he have left,Division
195,460,"[45, 32]",['X=(54.0/6.0)'],[9.0],Lemon heads come in packages of 6. Louis ate 54 Lemon Heads. How many whole boxes did he eat and how many Lemon Heads does he have left?,Division,lemon heads come in packages of louis ate lemon heads how many whole boxes did he eat and how many lemon heads does he have left,Division
196,503,"[20, 47]",['X=(51.0-36.0)'],[15.0],Marilyn starts with 51 bottle caps. She shares 36 with Nancy. How many bottle caps does Marilyn end with?,Subtraction,marilyn starts with bottle caps she shares with nancy how many bottle caps does marilyn end with,Subtraction
197,507,"[12, 35]",['X=(2.0+41.0)'],[43.0],William has 2 bottle caps. He buys 41 more. How many bottle caps does William have in all?,Addition,william has bottle caps he buys more how many bottle caps does william have in all,Addition
198,517,"[18, 39]",['X=(42.0-25.0)'],[17.0],Carol starts with 42 blocks. She loses 25. How many blocks does Carol end with?,Subtraction,carol starts with blocks she loses how many blocks does carol end with,Subtraction
199,519,"[17, 60]",['X=(88.0+5.0)'],[93.0],Lillian collects 88 candies. Lillian's father gives Lillian 5 more. How many candies does Lillian have?,Addition,lillian collects candies lillians father gives lillian more how many candies does lillian have,Addition
200,524,"[12, 35]",['X=(2.0+41.0)'],[43.0],William has 2 bottle caps. He buys 41 more. How many bottle caps does William have in all?,Addition,william has bottle caps he buys more how many bottle caps does william have in all,Addition
201,543,"[10, 79]",['X=(8.0+5.0)'],[13.0],There are 8 apples in a pile on the desk. Each apple comes in a package of 11. 5 apples are added to the pile. How many apples are there in the pile?,Addition,there are apples in a pile on the desk each apple comes in a package of apples are added to the pile how many apples are there in the pile,Addition
202,544,"[9, 36]",['X=(9.0+8.0)'],[17.0],"Sean has 9 apples. Susan gives Sean 8 more. Later, Sean buys 18 tickets at the store. How many apples does Sean have in all?",Addition,sean has apples susan gives sean more later sean buys tickets at the store how many apples does sean have in all,Addition
203,545,"[10, 81]",['X=(2.0+7.0)'],[9.0],There are 2 bananas in a pile on the desk. Each banana comes in a package of 17. 7 bananas are added to the pile. How many bananas are there in the pile?,Addition,there are bananas in a pile on the desk each banana comes in a package of bananas are added to the pile how many bananas are there in the pile,Addition
204,546,"[10, 80]",['X=(6.0+4.0)'],[10.0],There are 6 candies in a pile on the desk. Each candy comes in a package of 15. 4 candies are added to the pile. How many candies are there in the pile?,Addition,there are candies in a pile on the desk each candy comes in a package of candies are added to the pile how many candies are there in the pile,Addition
205,547,"[13, 34]",['X=(5.0+7.0)'],[12.0],"Kimberly has 5 Skittles. She buys 7 more. Later, Kimberly buys 18 oranges at the store. How many Skittles does Kimberly have in all?",Addition,kimberly has skittles she buys more later kimberly buys oranges at the store how many skittles does kimberly have in all,Addition
206,548,"[13, 32]",['X=(5.0+3.0)'],[8.0],"Clarence has 5 oranges. He gets 3 more from Joyce. Later, Clarence buys 9 Skittles at the store. How many oranges does Clarence have in all?",Addition,clarence has oranges he gets more from joyce later clarence buys skittles at the store how many oranges does clarence have in all,Addition
207,549,"[10, 78]",['X=(2.0+4.0)'],[6.0],There are 2 apples in a pile on the desk. Each apple comes in a package of 7. 4 apples are added to the pile. How many apples are there in the pile?,Addition,there are apples in a pile on the desk each apple comes in a package of apples are added to the pile how many apples are there in the pile,Addition
208,551,"[13, 34]",['X=(5.0+7.0)'],[12.0],"Kimberly has 5 Skittles. She buys 7 more. Later, Kimberly buys 18 oranges at the store. How many Skittles does Kimberly have in all?",Addition,kimberly has skittles she buys more later kimberly buys oranges at the store how many skittles does kimberly have in all,Addition
209,552,"[10, 29]",['X=(6.0+6.0)'],[12.0],"Annie has 6 apples. She gets 6 more from Nathan. Later, Annie buys 10 crayons at the store. How many apples does Annie have in all?",Addition,annie has apples she gets more from nathan later annie buys crayons at the store how many apples does annie have in all,Addition
210,555,"[10, 36]",['X=(8.0+6.0)'],[14.0],"Joyce has 8 eggs. Marie gives Joyce 6 more. Later, Joyce buys 13 erasers at the store. How many eggs does Joyce have in all?",Addition,joyce has eggs marie gives joyce more later joyce buys erasers at the store how many eggs does joyce have in all,Addition
211,556,"[10, 81]",['X=(2.0+7.0)'],[9.0],There are 2 bananas in a pile on the desk. Each banana comes in a package of 13. 7 bananas are added to the pile. How many bananas are there in the pile?,Addition,there are bananas in a pile on the desk each banana comes in a package of bananas are added to the pile how many bananas are there in the pile,Addition
212,560,"[12, 31]",['X=(3.0+6.0)'],[9.0],"Kenneth has 3 marbles. He buys 6 more. Later, Kenneth buys 15 apples at the store. How many marbles does Kenneth have in all?",Addition,kenneth has marbles he buys more later kenneth buys apples at the store how many marbles does kenneth have in all,Addition
213,562,"[35, 64]",['X=(5.0+62.0)'],[67.0],Arthur has 6 cards. Aaron has with 5 cards. Aaron finds another 62. How many cards does Aaron end with?,Addition,arthur has cards aaron has with cards aaron finds another how many cards does aaron end with,Addition
214,569,"[37, 69]",['X=(9.0+72.0)'],[81.0],Scott has 4 tickets. Ernest has with 9 tickets. Ernest finds another 72. How many tickets does Ernest end with?,Addition,scott has tickets ernest has with tickets ernest finds another how many tickets does ernest end with,Addition
215,576,"[10, 31]",['X=(37.0+5.0)'],[42.0],"Diane has 37 crayons. She gets 5 more from Frances. Later, Diane buys 16 cards at the store. How many crayons does Diane have in all?",Addition,diane has crayons she gets more from frances later diane buys cards at the store how many crayons does diane have in all,Addition
216,577,"[33, 61]",['X=(9.0+44.0)'],[53.0],Adam has 13 blocks. Ann has with 9 blocks. Ann finds another 44. How many blocks does Ann end with?,Addition,adam has blocks ann has with blocks ann finds another how many blocks does ann end with,Addition
217,578,"[38, 69]",['X=(4.0+80.0)'],[84.0],Ronald has 13 blocks. Martha has with 4 blocks. Martha finds another 80. How many blocks does Martha end with?,Addition,ronald has blocks martha has with blocks martha finds another how many blocks does martha end with,Addition
218,581,"[40, 75]",['X=(10.0+5.0)'],[15.0],Albert has 9 bottle caps. Anne has with 10 bottle caps. Anne finds another 5. How many bottle caps does Anne end with?,Addition,albert has bottle caps anne has with bottle caps anne finds another how many bottle caps does anne end with,Addition
219,584,"[11, 32]",['X=(95.0+9.0)'],[104.0],"Evelyn has 95 marbles. She gets 9 more from Henry. Later, Evelyn buys 6 cards at the store. How many marbles does Evelyn have in all?",Addition,evelyn has marbles she gets more from henry later evelyn buys cards at the store how many marbles does evelyn have in all,Addition
220,595,"[10, 29]",['X=(8.0+50.0)'],[58.0],"David has 8 bananas. He gets 50 more from Christopher. Later, David buys 9 cards at the store. How many bananas does David have in all?",Addition,david has bananas he gets more from christopher later david buys cards at the store how many bananas does david have in all,Addition
221,611,"[15, 52]",['X=(63.0+7.0)'],[70.0],Emily collects 63 cards. Emily's father gives Emily 7 more. Bruce has 13 apples. How many cards does Emily have?,Addition,emily collects cards emilys father gives emily more bruce has apples how many cards does emily have,Addition
222,636,"[20, 57]",['X=(47.0-42.0)'],[5.0],Carolyn starts with 47 marbles and 6 oranges. She shares 42 with Diana. How many marbles does Carolyn end with?,Subtraction,carolyn starts with marbles and oranges she shares with diana how many marbles does carolyn end with,Subtraction
223,637,"[11, 56]",['X=(48.0-35.0)'],[13.0],Willie has 48 bananas. Charles has 14 bananas. He loses 35. How many bananas will Willie have?,Subtraction,willie has bananas charles has bananas he loses how many bananas will willie have,Subtraction
224,647,"[10, 76]",['X=(55.0-35.0)'],[20.0],There are 55 oranges in a box. Deborah has 11 oranges in a bag. Susan takes 35 oranges out of the box. How many oranges are left in the box?,Subtraction,there are oranges in a box deborah has oranges in a bag susan takes oranges out of the box how many oranges are left in the box,Subtraction
225,649,"[10, 72]",['X=(77.0-75.0)'],[2.0],There are 77 apples in a box. Louise has 9 apples in a bag. Scott takes 75 apples out of the box. How many apples are left in the box?,Subtraction,there are apples in a box louise has apples in a bag scott takes apples out of the box how many apples are left in the box,Subtraction
226,653,"[10, 50]",['X=(75.0-70.0)'],[5.0],Bruce has 75 eggs. Kimberly has 17 eggs. He loses 70. How many eggs will Bruce have?,Subtraction,bruce has eggs kimberly has eggs he loses how many eggs will bruce have,Subtraction
227,654,"[10, 73]",['X=(69.0-54.0)'],[15.0],There are 69 erasers in a box. Jane has 15 erasers in a bag. Doris takes 54 erasers out of the box. How many erasers are left in the box?,Subtraction,there are erasers in a box jane has erasers in a bag doris takes erasers out of the box how many erasers are left in the box,Subtraction
228,655,"[10, 74]",['X=(97.0-97.0)'],[0.0],There are 97 erasers in a box. Ernest has 17 erasers in a bag. Mark takes 97 erasers out of the box. How many erasers are left in the box?,Subtraction,there are erasers in a box ernest has erasers in a bag mark takes erasers out of the box how many erasers are left in the box,Subtraction
229,657,"[10, 73]",['X=(88.0-6.0)'],[82.0],There are 88 candies in a box. Lisa has 18 candies in a bag. Diana takes 6 candies out of the box. How many candies are left in the box?,Subtraction,there are candies in a box lisa has candies in a bag diana takes candies out of the box how many candies are left in the box,Subtraction
230,667,"[12, 57]",['X=(96.0-9.0)'],[87.0],Brandon has 96 Skittles. Bonnie has 4 Skittles. He loses 9. How many Skittles will Brandon have?,Subtraction,brandon has skittles bonnie has skittles he loses how many skittles will brandon have,Subtraction
231,682,"[12, 58]",['X=(32.0-13.0)'],[19.0],Theresa has 32 crayons. Janice has 12 crayons. She shares 13 with Nancy. How many crayons will Theresa have?,Subtraction,theresa has crayons janice has crayons she shares with nancy how many crayons will theresa have,Subtraction
232,744,"[10, 51]",['X=(20.0-7.0)'],[13.0],Craig has 20 apples. Judy has 11 apples. He shares 7 with Eugene. How many apples will Craig have?,Subtraction,craig has apples judy has apples he shares with eugene how many apples will craig have,Subtraction
233,755,"[15, 39]",['X=(87.0-9.0)'],[78.0],Heather weighs 87 pounds. Emily weighs 9 pounds. Elizabeth weighs 8 pounds. How much heavier is Heather than Emily?,Subtraction,heather weighs pounds emily weighs pounds elizabeth weighs pounds how much heavier is heather than emily,Subtraction
234,780,"[11, 45]",['X=(2.0*6.0)'],[12.0],George has 2 boxes of blocks. Each box holds 6 blocks and there are 5 boxes in a case. How many blocks does George have?,Multiplication,george has boxes of blocks each box holds blocks and there are boxes in a case how many blocks does george have,Multiplication
235,790,"[10, 42]",['X=(3.0*7.0)'],[21.0],Maria has 3 boxes of eggs. Each box holds 7 eggs and there are 8 boxes in a case. How many eggs does Maria have?,Multiplication,maria has boxes of eggs each box holds eggs and there are boxes in a case how many eggs does maria have,Multiplication
236,791,"[11, 46]",['X=(9.0*5.0)'],[45.0],Gloria has 9 boxes of tickets. Each box holds 5 tickets and there are 10 boxes in a case. How many tickets does Gloria have?,Multiplication,gloria has boxes of tickets each box holds tickets and there are boxes in a case how many tickets does gloria have,Multiplication
237,792,"[11, 43]",['X=(5.0*3.0)'],[15.0],George has 5 boxes of eggs. Each box holds 3 eggs and there are 9 boxes in a case. How many eggs does George have?,Multiplication,george has boxes of eggs each box holds eggs and there are boxes in a case how many eggs does george have,Multiplication
238,794,"[15, 50]",['X=(4.0*10.0)'],[40.0],Jacqueline has 4 boxes of erasers. Each box holds 10 erasers and there are 9 boxes in a case. How many erasers does Jacqueline have?,Multiplication,jacqueline has boxes of erasers each box holds erasers and there are boxes in a case how many erasers does jacqueline have,Multiplication
239,833,"[12, 134]",['X=(40.0/8.0)'],[5.0],"Marilyn has 40 bananas that must be put away in boxes. Daniel comes to help and brings 10 cookies to share with Marilyn. If there are 8 boxes, how many bananas must go in each box?",Division,marilyn has bananas that must be put away in boxes daniel comes to help and brings cookies to share with marilyn if there are boxes how many bananas must go in each box,Division
240,835,"[22, 9]",['X=(12.0-9.0)'],[3.0],"Rose has 9 apples and 12 erasers. If she shares the apples among 3 friends, how many apples does each friend get?",Subtraction,rose has apples and erasers if she shares the apples among friends how many apples does each friend get,Subtraction
241,837,"[11, 67]",['X=(40.0/5.0)'],[8.0],"Joshua has 40 Skittles and 6 eggs. If he shares the Skittles among 5 friends, how many Skittles does each friend get?",Division,joshua has skittles and eggs if he shares the skittles among friends how many skittles does each friend get,Division
242,844,"[9, 66]",['X=(72.0/9.0)'],[8.0],"Ryan has 72 marbles and 17 blocks. If he shares the marbles among 9 friends, how many marbles does each friend get?",Division,ryan has marbles and blocks if he shares the marbles among friends how many marbles does each friend get,Division
243,847,"[9, 67]",['X=(36.0/9.0)'],[4.0],"Ruby has 36 candies and 6 bananas. If she shares the candies among 9 friends, how many candies does each friend get?",Division,ruby has candies and bananas if she shares the candies among friends how many candies does each friend get,Subtraction
244,849,"[10, 129]",['X=(56.0/8.0)'],[7.0],"Scott has 56 oranges that must be put away in boxes. Terry comes to help and brings 11 cookies to share with Scott. If there are 8 boxes, how many oranges must go in each box?",Division,scott has oranges that must be put away in boxes terry comes to help and brings cookies to share with scott if there are boxes how many oranges must go in each box,Division
245,850,"[10, 128]",['X=(40.0/10.0)'],[4.0],"Joyce has 40 bananas that must be put away in boxes. Fred comes to help and brings 18 cookies to share with Joyce. If there are 10 boxes, how many bananas must go in each box?",Division,joyce has bananas that must be put away in boxes fred comes to help and brings cookies to share with joyce if there are boxes how many bananas must go in each box,Division
246,856,"[8, 126]",['X=(45.0/9.0)'],[5.0],"Joe has 45 oranges that must be put away in boxes. Daniel comes to help and brings 16 cookies to share with Joe. If there are 9 boxes, how many oranges must go in each box?",Division,joe has oranges that must be put away in boxes daniel comes to help and brings cookies to share with joe if there are boxes how many oranges must go in each box,Division
247,861,"[11, 130]",['X=(45.0/5.0)'],[9.0],"Ernest has 45 bananas that must be put away in boxes. Julie comes to help and brings 3 cookies to share with Ernest. If there are 5 boxes, how many bananas must go in each box?",Division,ernest has bananas that must be put away in boxes julie comes to help and brings cookies to share with ernest if there are boxes how many bananas must go in each box,Division
