,Type,Clean,label
206,Addition,clarence has oranges he gets more from joyce later clarence buys skittles at the store how many oranges does clarence have in all,2
103,Subtraction,clarence has tickets he gives to eugene how many tickets will clarence have,1
544,Multiplication,cody is years old his grandmother is times as old as he is how old is codys grandmother,0
477,Addition,connie had some marbles she gave to juan now she has marbles left how many did she have to start with,2
384,Addition,connie had some marbles she gave to juan now she has marbles left how many did she have to start with,2
389,Addition,connie has marbles juan has more marbles than connie how many marbles does juan have,2
478,Addition,connie has red markers and blue markers how many markers does she have altogether,2
385,Addition,connie has red markers and blue markers how many markers does she have altogether,2
232,Subtraction,craig has apples judy has apples he shares with eugene how many apples will craig have,1
80,Subtraction,craig starts with skittles are eaten by a hippopotamus how many skittles does craig end with,1
1,Subtraction,dan had left with him after he bought a candy bar if he had at the start how much did the candy bar cost,1
341,Division,dan has for a total of he bought candy bar each one costing the same amount of money how much did each candy bar cost,3
545,Subtraction,dan has for a total of he bought candy bar each one costing the same amount of money how much money is left,1
665,Addition,dan has he bought a candy bar for and a chocolate for how much money did he spend buying the candy bar and chocolate,2
799,Subtraction,dan has he bought a candy bar for and a chocolate for how much money did he spend to buy candy bar than he did to buy chocolate,1
95,Subtraction,dan has he bought a candy bar for and a chocolate for how much money did he spend to buy chocolate than he did to buy candy bar,1
748,Subtraction,dan has he bought a candy bar for and a chocolate for how much money is left,1
411,Subtraction,dan has he bought a candy bar for how much money is left,1
35,Addition,dan has he bought a candy bar for then his friend have him how much money is left,2
583,Subtraction,dan has he bought a chocolate for and a candy bar for how much money did he spend to buy candy bar than he did to buy chocolate,1
840,Subtraction,dan has he bought a chocolate for and a candy bar for how much money did he spend to buy chocolate than he did to buy candy bar,1
29,Division,dan has he bought candy bar for each one costing the same amount of money how much did each candy bar cost,3
497,Subtraction,dan has he bought candy bar for each one costing the same amount of money how much money is left,1
640,Division,dan has he bought some candy bar for each one costing how many candy bar did he buy,3
234,Subtraction,dan has he had left with him after he bought a candy bar how much did the candy bar cost,1
541,Addition,dan has left with him after he bought a candy bar for how much money did he have initially,2
343,Addition,daniel had some noodles he gave noodles to william now daniel only has noodles how many noodles did daniel have to begin with,2
553,Subtraction,danny collects bottle caps and wrappers he found bottle caps and wrappers at the park now he has bottle caps and wrappers in his collection how many bottle caps did danny have at first,1
230,Subtraction,danny collects bottle caps and wrappers he found bottle caps and wrappers at the park now he has bottle caps and wrappers in his collection how many more bottle caps than wrappers did danny find at the park,1
496,Subtraction,danny collects bottle caps and wrappers he found bottle caps and wrappers at the park now he has bottle caps and wrappers in his collection how many more bottle caps than wrappers does danny have now,1
414,Subtraction,danny collects bottle caps and wrappers he found bottle caps and wrappers at the park now he has bottle caps and wrappers in his collection how many more wrappers than bottle caps did danny find at the park,1
513,Subtraction,danny collects bottle caps and wrappers he found bottle caps and wrappers at the park now he has bottle caps and wrappers in his collection how many more wrappers than bottle caps does danny have now,1
18,Subtraction,danny collects bottle caps and wrappers he found bottle caps and wrappers at the park now he has bottle caps and wrappers in his collection how many wrappers did danny have at first,1
903,Subtraction,danny collects bottle caps and wrappers he found bottle caps and wrappers at the park now he has wrappers and bottle caps in his collection how many more bottle caps than wrappers does danny have now,1
681,Subtraction,danny collects bottle caps and wrappers he found bottle caps and wrappers at the park now he has wrappers and bottle caps in his collection how many more wrappers than bottle caps does danny have now,1
392,Subtraction,danny collects bottle caps and wrappers he found wrappers and bottle caps at the park now he has bottle caps and wrappers in his collection how many bottle caps did danny have at first,1
41,Subtraction,danny collects bottle caps and wrappers he found wrappers and bottle caps at the park now he has bottle caps and wrappers in his collection how many more bottle caps than wrappers did danny find at the park,1
25,Subtraction,danny collects bottle caps and wrappers he found wrappers and bottle caps at the park now he has bottle caps and wrappers in his collection how many more wrappers than bottle caps did danny find at the park,1
692,Subtraction,danny collects bottle caps and wrappers he found wrappers and bottle caps at the park now he has bottle caps and wrappers in his collection how many wrappers did danny have at first,1
168,Subtraction,danny collects bottle caps he found bottle caps at the park while he threw away old ones now he has bottle caps in his collection how many bottle caps did danny have at first,1
544,Subtraction,danny collects bottle caps he found bottle caps at the park while he threw away old ones now he has bottle caps in his collection how many more bottle caps did danny find at the park than those he threw away,1
123,Subtraction,danny collects bottle caps he found bottle caps at the park while he threw away old ones now he has bottle caps in his collection how many more bottle caps did danny throw away than those he found at the park,1
654,Addition,danny collects bottle caps he lost bottle caps at the park now he has bottle caps in his collection how many bottle caps did danny have at first,2
533,Subtraction,danny collects bottle caps he threw away of the old ones at the park while he found bottle caps new ones now he has bottle caps in his collection how many bottle caps did danny have at first,1
886,Subtraction,danny collects bottle caps he threw away of the old ones at the park while he found bottle caps new ones now he has bottle caps in his collection how many more bottle caps did danny find at the park than those he threw away,1
477,Subtraction,danny collects bottle caps he threw away of the old ones at the park while he found bottle caps new ones now he has bottle caps in his collection how many more bottle caps did danny throw away than those he found at the park,1
787,Addition,danny has bottle caps in his collection he found bottle caps at the park how many bottle caps does he have now,2
331,Subtraction,danny has bottle caps in his collection he found some more bottle caps at the park if he has bottle caps now how many bottle caps did he find at the park,1
549,Addition,darius drove miles to visit his grandmother julia drove miles to visit her grandmother what is the total number of miles darius and julia drove,2
403,Subtraction,dave had apps and files on his phone after deleting some apps and files he had apps and files left how many apps did he delete,1
722,Subtraction,dave had apps and files on his phone after deleting some apps and files he had apps and files left how many files did he delete,1
744,Subtraction,dave had apps and files on his phone after deleting some apps and files he had apps and files left how many more apps than files does he have left on the phone,1
320,Subtraction,dave had apps and files on his phone after deleting some apps and files he had apps and files left how many more files than apps does he have left on the phone,1
920,Subtraction,dave had apps and files on his phone after deleting some apps and files he had files and apps left how many more apps than files does he have left on the phone,1
695,Subtraction,dave had apps and files on his phone after deleting some apps and files he had files and apps left how many more files than apps does he have left on the phone,1
954,Subtraction,dave had apps on his phone after adding some he had left how many apps did he add,1
937,Subtraction,dave had apps on his phone he added new apps after deleting some he had left how many apps did he delete,1
973,Subtraction,dave had apps on his phone he added new apps after deleting some he had left how many more apps did he add than he deleted,1
184,Subtraction,dave had apps on his phone he added new apps after deleting some he had left how many more apps did he delete than he added,1
769,Subtraction,dave had apps on his phone he deleted apps how many apps are left on his phone,1
415,Subtraction,dave had files and apps on his phone after deleting some apps and files he had apps and files left how many apps did he delete,1
65,Subtraction,dave had files and apps on his phone after deleting some apps and files he had apps and files left how many files did he delete,1
941,Addition,dave had some apps on his phone after deleting of them he had left how many apps did he have on his phone at the start,2
701,Subtraction,david did more pushups but less crunches than zachary in gym class today if zachary did pushups and crunches how many crunches did david do,1
778,Subtraction,david did more pushups but less crunches than zachary in gym class today if zachary did pushups and crunches how many more crunches than pushups did zachary do,1
977,Subtraction,david did more pushups but less crunches than zachary in gym class today if zachary did pushups and crunches how many more pushups than crunches did zachary do,1
512,Subtraction,david did more pushups than zachary in gym class today if david did pushups how many pushups did zachary and david do altogether,1
851,Subtraction,david did more pushups than zachary in gym class today if david did pushups how many pushups did zachary do,1
913,Subtraction,david did pushups in gym class today david did more pushups than zachary how many pushups did zachary and david do altogether,1
323,Subtraction,david did pushups in gym class today david did more pushups than zachary how many pushups did zachary do,1
220,Addition,david has bananas he gets more from christopher later david buys cards at the store how many bananas does david have in all,2
62,Subtraction,david removes eggs from a jar there were originally eggs in the jar how many eggs are left in the jar,1
199,Division,debby bought soda bottles and water bottles when they were on sale if she drank water bottles and soda bottles a day how many days would the soda bottles last,3
499,Division,debby bought soda bottles and water bottles when they were on sale if she drank water bottles and soda bottles a day how many days would the water bottles last,3
894,Multiplication,debby bought some water bottles when they were on sale she drank bottles a day if the bottles lasted for days how many bottles had she bought,0
389,Division,debby bought water bottles and soda bottles when they were on sale if she drank water bottles and soda bottles a day how many days would the soda bottles last,3
863,Division,debby bought water bottles and soda bottles when they were on sale if she drank water bottles and soda bottles a day how many days would the water bottles last,3
856,Subtraction,debby bought water bottles when they were on sale if she drank bottles a day for days how many bottles does she have left,1
307,Division,debby bought water bottles when they were on sale if she drank bottles a day for some days if she has bottles left how many days did she drink for,3
487,Division,debby bought water bottles when they were on sale she drank the same number of bottles each day if the bottles lasted for days how many bottles did she drink each day,3
296,Division,debby drinks bottles a day if she bought a total of water bottles how many days would they last her,3
163,Division,deborah is inviting friends to a party she has cookies how many cookies will each friend get,3
57,Subtraction,debra removes apples from a jar there were originally apples in the jar how many apples are left in the jar,1
51,Subtraction,denise removes bananas from a jar there were originally bananas in the jar how many bananas are left in the jar,1
177,Division,diana has erasers if she shares them among friends how many erasers does each friend get,3
78,Subtraction,diana starts with bottle caps are eaten by a hippopotamus how many bottle caps does diana end with,1
215,Addition,diane has crayons she gets more from frances later diane buys cards at the store how many crayons does diane have in all,2
326,Addition,dogs are barking more dogs start to bark how many dogs are barking,2
15,Addition,donald has oranges he finds another how many oranges does donald have in all,2
59,Subtraction,donna weighs pounds willie weighs pounds how much heavier is donna than willie,1
111,Subtraction,dorothy has cards she gives to harold how many cards will dorothy have,1
325,Addition,ducks are swimming in a lake more ducks come to join them how many ducks are swimming in the lake,2
622,Addition,during summer break kids from lawrence county go to camp and the other kids stay home an additional kids from outside the county attended the camp about how many kids are in lawrence county,2
627,Addition,during summer break kids from lawrence county go to camp and the other kids stay home an additional kids from outside the county attended the camp how many kids in total attended the camp,2
558,Subtraction,during summer break kids from lawrence county go to camp and the other kids stay home how many more kids spent their summer break at the camp compared to those who stayed home,1
831,Subtraction,during summer break kids from lawrence county go to camp and the other kids stay home how many more kids stayed home compared to those who went to the camp,1
106,Subtraction,during summer break kids from lawrence county go to camp and the rest stay home lawrence county has kids in all about how many kids stayed home,1
656,Addition,during summer break kids from lawrence county stay home and the other kids go to camp about how many kids are in lawrence county,2
170,Addition,during summer break kids from lawrence county stayed home and the other kids went to camp an additional kids from outside the county attended the camp how many kids are in lawrence county,2
749,Subtraction,during summer break kids from lawrence county stayed home and the rest went to camp the total number of kids in lawrence county is about how many kids in lawrence county went to camp,1
201,Division,during the arkansas and texas tech game the razorback tshirt shop made by selling tshirts if they make dollars off each tshirt sold how many tshirts did they sell,3
593,Division,during the arkansas and texas tech game the razorback tshirt shop made by selling tshirts what is the cost of each tshirt,3
508,Multiplication,each bag contains pounds of oranges how many pounds of oranges are in bags,0
121,Multiplication,each banana costs how much do bananas cost,0
760,Multiplication,each basket of peaches has red peaches and green peaches if there are such baskets how many peaches are in the baskets altogether,0
119,Multiplication,each bottle cap costs how much do bottle caps cost,0
123,Multiplication,each bottle cap costs how much do bottle caps cost,0
381,Multiplication,each cd rack holds cds a shelf can hold racks how many total cds can fit on the shelf,0
129,Multiplication,each child has bottle caps if there are children how many bottle caps are there in total,0
127,Multiplication,each child has bottle caps if there are children how many bottle caps are there in total,0
126,Multiplication,each child has candies if there are children how many candies are there in total,0
120,Multiplication,each child has oranges if there are children how many oranges are there in total,0
128,Multiplication,each child has pencils if there are children how many pencils are there in total,0
526,Multiplication,each cup contains ounces how many ounces are in cups,0
502,Multiplication,each ferris wheel in paradise park has seats each seat in a ferris wheel can hold people how many people can ride ferris wheels at the same time,0
431,Division,each pack of dvds costs dollars if there is a discount of dollars on each pack how many packs of dvds can you buy with dollars,3
0,Subtraction,each pack of dvds costs dollars if there is a discount of dollars on each pack how much do you have to pay to buy each pack,1
116,Division,each pot has flowers in it there are flowers in total how many pots are there in all,3
130,Multiplication,each ticket costs how much do tickets cost,0
122,Multiplication,each ticket costs how much do tickets cost,0
119,Subtraction,ed had more marbles than doug doug lost of his marbles at the playground if ed had marbles how many marbles did doug have initially,1
798,Subtraction,ed had more marbles than doug doug lost of his marbles at the playground if ed had marbles how many marbles does doug have now,1
598,Addition,ed had more marbles than doug doug lost of his marbles at the playground if ed had marbles how many more marbles did ed have than doug then,2
784,Addition,ed had more marbles than doug doug lost of his marbles at the playground while ed found more marbles how many more marbles did ed have than doug then,2
470,Subtraction,ed had more marbles than doug doug lost some of his marbles at the playground now ed has more marbles than doug how many marbles did doug lose,1
96,Subtraction,ed had more marbles than doug ed lost of his marbles at the playground how many more marbles did ed have than doug then,1
662,Subtraction,ed had more marbles than doug ed lost of his marbles at the playground if ed had marbles how many marbles does doug have now,1
872,Subtraction,ed had more marbles than doug ed lost of his marbles at the playground if ed had marbles how many more marbles did ed have than doug then,1
244,Subtraction,ed had more marbles than doug ed lost some of his marbles at the playground now ed has more marbles than doug how many marbles did ed lose,1
623,Subtraction,edward had he spent how much money does edward have now,1
243,Subtraction,edward had he spent some money now he has how much money did edward spend,1
369,Addition,edward spent then he received from his friend now he has how much did edward have before he spent his money,2
837,Addition,edward spent then he spent more now he has how much did edward have before he spent his money,2
324,Addition,edward spent to buy books and to buy pens now he has how much did edward have before he spent his money,2
368,Addition,edward spent to buy books and to buy pens now he has how much did edward spend on books and pens,2
232,Subtraction,edward spent to buy books and to buy pens now he has how much more did edward spend on books than pens,1
895,Division,edward spent to buy books each book costing him the same amount of money now he has how much did each book cost,3
626,Addition,edward spent to buy books each book costing him the same amount of money now he has how much did edward have before he spent his money,2
61,Subtraction,edward starts with eggs he gives to phillip how many eggs does edward end with,1
422,Subtraction,elisa has dollars how many more dollars does she have to earn to have dollars,1
156,Division,elizabeth is inviting friends to a party she has cookies how many cookies will each friend get,3
536,Subtraction,ellen had legos but she lost legos how many legos does she have now,1
509,Multiplication,ellen went to a garage sale to buy chairs each chair cost dollars how much money did ellen spend for the chairs she bought,0
438,Multiplication,emily collected eggs from the hen and put them into baskets she put eggs into each basket how many eggs did emily collect,0
221,Addition,emily collects cards emilys father gives emily more bruce has apples how many cards does emily have,2
233,Division,emily is making bead necklaces for her friends each necklace takes beads and she has beads how many necklaces can emily make,3
52,Division,emily is making bead necklaces for her friends she had beads and she was able to make necklaces how many beads did each necklace need,3
160,Division,emily is making bead necklaces for her friends she had beads and she was able to make necklaces how many beads did each necklace need,3
61,Division,emily is making bead necklaces for her friends she has beads and each necklace takes beads how many necklaces can emily make,3
134,Multiplication,emily is making bead necklaces for her friends she made necklaces and each necklace takes beads how many beads did emily have,0
386,Multiplication,emily is making bead necklaces for her friends she made necklaces and each necklace takes beads how many beads did emily have,0
548,Division,emily is making bead necklaces for her friends she was able to make necklaces and she had beads how many beads did each necklace need,3
84,Multiplication,emily is making bead necklaces for her friends where each necklace takes beads she made necklaces how many beads did emily have,0
264,Division,emily sprinted to timothys house it is miles from emilys house to timothys house it took emily hours to get there how fast did emily go,3
255,Division,emily sprinted to timothys house it is miles from emilys house to timothys house it took emily hours to get there how fast did emily go,3
136,Multiplication,eric has boxes of pencils each box holds pencils how many pencils does eric have,0
176,Division,eric has erasers if he shares them among friends how many erasers does each friend get,3
158,Division,eric wants to split a collection of peanuts into groups of eric has peanuts how many groups will be created,3
247,Division,ernest has bananas that must be put away in boxes julie comes to help and brings cookies to share with ernest if there are boxes how many bananas must go in each box,3
76,Subtraction,ernest starts with crayons jennifer takes away how many crayons does ernest end with,1
372,Addition,ethan has presents alissa has more than ethan how many presents does alissa have,2
38,Addition,eugene has pencils he gets more from joyce how many pencils does eugene have in all,2
219,Addition,evelyn has marbles she gets more from henry later evelyn buys cards at the store how many marbles does evelyn have in all,2
45,Addition,evelyn starts with bottle caps she finds another how many bottle caps does evelyn end with,2
94,Subtraction,evelyn starts with skittles she shares with christine how many skittles does evelyn end with,1
447,Subtraction,every day ryan spends a total of hours on learning english and chinese if he spends hours on learning english everyday how many hours does he spend on learning chinese,1
581,Addition,every day ryan spends hours on learning chinese and some more hours on learning english if he spends hours more on learning english than on learning chinese how many hours does he spend on learning english,2
454,Subtraction,every day ryan spends hours on learning english and hours on learning chinese how many more hours does he spend on learning chinese than he does on learning english,1
700,Subtraction,every day ryan spends hours on learning english and hours on learning chinese how many more hours does he spend on learning english than he does on learning chinese,1
690,Multiplication,every day ryan spends hours on learning english and hours on learning chinese if he learns for days how many hours does he spend on learning chinese in all,0
606,Addition,every day ryan spends hours on learning english and hours on learning chinese if he learns for days how many hours does he spend on learning english and chinese each day,2
741,Multiplication,every day ryan spends hours on learning english and hours on learning chinese if he learns for days how many hours does he spend on learning english and chinese in all,0
597,Multiplication,every day ryan spends hours on learning english and hours on learning chinese if he learns for days how many hours does he spend on learning english in all,0
716,Subtraction,every day ryan spends hours on learning english and some more hours on learning chinese if he spends a total of hours on learning english and chinese everyday how many hours does he spend on learning chinese,1
439,Subtraction,every day ryan spends hours on learning english and some more hours on learning chinese if he spends hours more on learning english than on learning chinese how many hours does he spend on learning chinese,1
560,Addition,every day ryan spends hours on learning english hours on learning chinese and hours on learning spanish how many hours does he spend on learning english chinese and spanish in all,2
207,Subtraction,every day ryan spends hours on learning english hours on learning chinese and hours on learning spanish how many more hours does he spend on learning chinese than he does on learning spanish,1
293,Subtraction,every day ryan spends hours on learning english hours on learning chinese and hours on learning spanish how many more hours does he spend on learning english than he does on learning chinese,1
264,Subtraction,every day ryan spends hours on learning english hours on learning chinese and hours on learning spanish how many more hours does he spend on learning english than he does on learning spanish,1
635,Multiplication,faye had packs of pencils each one having pencils she was placing her pencils into rows with pencils in each row how many pencils does she have,0
501,Multiplication,faye had packs of pencils each one having pencils she was placing her pencils into rows with pencils in each row how many rows could she make,0
853,Multiplication,faye was placing her pencils and crayons into rows with crayons and pencils in each row how many crayons does she have,0
574,Multiplication,faye was placing her pencils and crayons into rows with crayons and pencils in each row how many pencils does she have,0
859,Multiplication,faye was placing her pencils and crayons into rows with pencils and crayons in each row how many crayons does she have,0
158,Multiplication,faye was placing her pencils and crayons into rows with pencils and crayons in each row how many pencils and crayons does she have altogether,0
660,Multiplication,faye was placing her pencils and crayons into rows with pencils and crayons in each row how many pencils does she have,0
103,Multiplication,faye was placing her pencils into rows with pencils in each row how many pencils does she have,0
785,Division,faye was placing her pencils into rows with pencils in each row if she had pencils and crayons how many rows could she make,3
114,Multiplication,faye was placing her pencils into rows with pencils in each row she had packs of pencils each one having pencils how many pencils does she have,0
515,Multiplication,faye was placing her pencils into rows with pencils in each row she had packs of pencils each one having pencils how many rows could she make,0
575,Division,faye was placing pencils equally into rows how many pencils did she place in each row,3
171,Division,faye was placing pencils into rows with pencils in each row how many rows could she make,3
884,Division,faye was placing some pencils equally into rows if she had pencils how many pencils did she place in each row,3
624,Subtraction,for gwens birthday she received dollars from her dad her mom gave her more dollars if she spent dollars how much more money did she receive from her dad than she did from her mom,1
37,Subtraction,for gwens birthday she received dollars from her dad her mom gave her more dollars if she spent dollars how much more money did she receive from her mom than she did from her dad,1
372,Subtraction,for gwens birthday she received dollars from her mom her dad gave her more dollars if she spent dollars how much money did she still have,1
793,Subtraction,for gwens birthday she received dollars from her mom her dad gave her more dollars if she spent dollars how much more money did she receive from her dad than she did from her mom,1
401,Subtraction,for gwens birthday she received dollars from her mom her dad gave her more dollars if she spent dollars how much more money did she receive from her mom than she did from her dad,1
805,Subtraction,for gwens birthday she received dollars she spent some money and has dollars left with her how much money did she spend,1
653,Addition,for gwens birthday she received some dollars she spent dollars and has dollars left with her how much money did gwen receive for her birthday,2
431,Multiplication,for the fifth grade play the chairs have been put into rows with chairs in each row how many chairs have been put out for the play,0
267,Addition,for the walls of the house he would use large planks of wood and small planks if each large plank of wood needs pieces of nails to be secured and each small plank needs nails how many planks does john need for the house wall,2
285,Addition,for the walls of the house he would use large planks of wood and small planks if large planks together need pieces of nails to be secured and small planks together need nails how many nails does john need for the house wall,2
180,Addition,for the walls of the house he would use large planks of wood if each plank of wood needs pieces of nails to be secured and in addition nails are needed for some smaller planks how many nails does john need for the house wall,2
554,Division,for the walls of the house he would use large planks of wood if each plank of wood needs pieces of nails to be secured how many planks does john need for the house wall,3
828,Division,for the walls of the house he would use nails in all to secure large planks of wood if each plank needs pieces of nails to be secured and an additional nails were used how many planks does john need for the house wall,3
229,Division,for the walls of the house he would use nails in all to secure large planks of wood if each plank of wood needs pieces of nails to be secured how many planks does john need for the house wall,3
396,Multiplication,for the walls of the house john would use large planks of wood each plank needs pieces of nails to be secured and he would use planks how many nails does john need for the house wall,0
819,Division,for weeks of harvest lewis earns a total of how much money does he earn each week,3
522,Division,frank had pieces of candy he lost of them if he put the remaining pieces into bags with pieces in each bag how many bags would he have,3
188,Division,frank had pieces of candy if he put them equally into bags how many pieces of candy are in each bag,3
172,Multiplication,frank had some pieces of candy if he put them into bags with pieces in each bag how many pieces of candy did he have,0
53,Division,frank put pieces of candy in each bag if he had pieces of candy how many bags would he have,3
314,Division,frank put some pieces of candy equally into bags if he had pieces of candy how many pieces of candy are in each bag,3
202,Multiplication,frank was reading through his favorite book he read pages per day and it took him days to finish the book how many pages are there in the book,0
148,Division,frank was reading through his favorite book he read pages per day if the book had pages how many days did he take to finish the book,3
98,Division,frank was reading through his favorite book it took him days to finish the book if the book had pages how many pages did he read per day,3
332,Division,frank was reading through his favorite book the book had chapters each with pages it took frank days to finish the book how many chapters did he read per day,3
922,Division,frank was reading through his favorite book the book had chapters each with the same number of pages it has a total of pages it took frank days to finish the book how many pages are in each chapter,3
380,Division,frank was reading through his favorite book the book had chapters each with the same number of pages it has a total of pages it took frank days to finish the book how many pages did he read per day,3
783,Division,frank was reading through his favorite book the book had pages and he read pages per day how many days did he take to finish the book,3
675,Division,frank was reading through his favorite book the book had pages equally distributed over chapters it took frank days to finish the book how many chapters did he read per day,3
428,Division,frank was reading through his favorite book the book had pages equally distributed over chapters it took frank days to finish the book how many pages are in each chapter,3
474,Division,frank was reading through his favorite book the book had pages equally distributed over chapters it took frank days to finish the book how many pages did he read per day,3
382,Division,frank was reading through some books each book had pages and it took frank days to finish each book how many pages did he read per day,3
976,Division,frank was reading through some books each book had pages and it took frank days to finish each book if he takes days to finish all books how many books did he read,3
520,Multiplication,frank worked hours on the first days of the week how many hours did he work in all,0
992,Subtraction,friends of katie had games and she had ds games how many more games does katie have than her friends,1
427,Subtraction,gary had dollars he spent dollars on a pet snake how many dollars did gary have left,1
371,Subtraction,gavin has shirts are blue the rest are green how many green shirts does gavin have,1
234,Multiplication,george has boxes of blocks each box holds blocks and there are boxes in a case how many blocks does george have,0
237,Multiplication,george has boxes of eggs each box holds eggs and there are boxes in a case how many eggs does george have,0
319,Addition,gino has popsicle sticks i have popsicle sticks what is the sum of our popsicle sticks,2
236,Multiplication,gloria has boxes of tickets each box holds tickets and there are boxes in a case how many tickets does gloria have,0
26,Addition,gloria has pencils lisa has pencils if lisa gives all of her pencils to gloria how many pencils will gloria have,2
295,Subtraction,green peaches yellow peaches and red peaches are in the basket how many more green peaches than red peaches are in the basket,1
191,Division,gumballs come in packages of nathan ate gumballs how many whole boxes did he eat and how many gumballs does he have left,3
345,Addition,haley grew some trees in her backyard after a typhoon died if trees were left how many trees did she grow,2
693,Subtraction,haley grew trees in her backyard after a typhoon died how many more trees died in the typhoon than those that survived,1
405,Subtraction,haley grew trees in her backyard after a typhoon died how many more trees survived the typhoon than those that died,1
901,Addition,haley grew trees in her backyard after a typhoon died then she grew more trees how many trees does she have left,2
490,Subtraction,haley grew trees in her backyard after a typhoon trees were left how many trees died in the typhoon,1
191,Division,haley has marbles in her class boys love to play marbles if she distributes her marbles equally how many will each of the boys receive,3
50,Addition,harold has marbles he gets more from steve how many marbles does harold have in all,2
505,Addition,harry hound had a terrible earache yesterday when i peered into his ears yesterday i found frisky fleas having a party in his right ear and baby fleas sleeping peacefully in his left ear i cleaned out harry hounds ears how many fleas perished,2
161,Division,harry is inviting friends to a party he has cookies how many cookies will each friend get,3
36,Addition,harry starts with apples he buys more how many apples does harry end with,2
344,Subtraction,hayley had meatballs on her plate kirsten stole some of her meatballs now she has meatballs on her plate how many meatballs did kirsten steal,1
779,Multiplication,he also had aquariums for freshwater animals and aquariums for saltwater animals each aquarium has animals in it how many saltwater animals does tyler have,0
308,Multiplication,he also had aquariums for saltwater animals and aquariums for freshwater animals each aquarium has animals in it how many saltwater animals does tyler have,0
62,Division,he also had aquariums for saltwater animals the aquarium had saltwater animals in total and every aquarium had the same number of animals how many saltwater animals does each aquarium have,3
740,Division,he had a total of saltwater animals in different aquariums each aquarium has animals in it how many aquariums did he have,3
539,Multiplication,he had aquariums for saltwater animals and aquariums for freshwater animals each aquarium has animals in it how many animals does he have in total,0
694,Addition,he has apples more than adam and jackie together do adam and jackie have apples between them how many apples does he have,2
843,Division,he then went to see the oranges being harvested he found out that the harvest will go on for days how many sacks do they harvest per day if they harvested a total of sacks of oranges,3
930,Subtraction,he then went to see the oranges being harvested he found out that they harvest sacks of ripe oranges and sacks of unripe oranges per day how many more sacks of ripe oranges than unripe oranges are harvested per day,1
826,Subtraction,he then went to see the oranges being harvested he found out that they harvest sacks of ripe oranges and sacks of unripe oranges per day how many more sacks of unripe oranges than ripe oranges are harvested per day,1
846,Multiplication,he then went to see the oranges being harvested he found out that they harvest sacks of ripe oranges and sacks of unripe oranges per day how many sacks of oranges will they have after days of harvest,0
771,Multiplication,he then went to see the oranges being harvested he found out that they harvest sacks of ripe oranges and sacks of unripe oranges per day how many sacks of ripe oranges will they have after days of harvest,0
478,Multiplication,he then went to see the oranges being harvested he found out that they harvest sacks of ripe oranges and sacks of unripe oranges per day how many sacks of unripe oranges will they have after days of harvest,0
757,Subtraction,he then went to see the oranges being harvested he found out that they harvest sacks of unripe oranges and sacks of ripe oranges per day how many more sacks of ripe oranges than unripe oranges are harvested per day,1
329,Subtraction,he then went to see the oranges being harvested he found out that they harvest sacks of unripe oranges and sacks of ripe oranges per day how many more sacks of unripe oranges than ripe oranges are harvested per day,1
570,Multiplication,he then went to see the oranges being harvested he found out that they harvest sacks of unripe oranges and sacks of ripe oranges per day how many sacks of ripe oranges will they have after days of harvest,0
485,Multiplication,he then went to see the oranges being harvested he found out that they harvest sacks of unripe oranges and sacks of ripe oranges per day how many sacks of unripe oranges will they have after days of harvest,0
595,Multiplication,he then went to see the oranges being harvested he found out that they harvest sacks per day and discard of them how many oranges do they harvest per day if each sack contains oranges,0
613,Multiplication,he then went to see the oranges being harvested he found out that they harvest sacks per day and discard of them how many sacks of oranges will they have after days of harvest,0
591,Division,he then went to see the oranges being harvested he found out that they harvest sacks per day and that each sack containes oranges how many days will it take to harvest sacks of oranges,3
775,Multiplication,he then went to see the oranges being harvested he found out that they harvest sacks per day and that each sack containes oranges how many oranges are harvested if they harvest a total of sacks of oranges,0
231,Multiplication,he then went to see the oranges being harvested he found out that they harvest sacks per day and that each sack containes oranges how many oranges do they harvest per day,0
724,Multiplication,he then went to see the oranges being harvested he found out that they harvest sacks per day and that each sack containes oranges how many oranges will they have after days of harvest,0
111,Multiplication,he then went to see the oranges being harvested he found out that they harvest sacks per day and that each sack containes oranges how many sacks of oranges will they have after days of harvest,0
338,Division,he then went to see the oranges being harvested he found out that they harvest sacks per day how many days will it take to harvest sacks of oranges,3
353,Multiplication,he then went to see the oranges being harvested he found out that they harvest sacks per day how many oranges do they harvest per day if each sack contains oranges,0
450,Division,he then went to see the oranges being harvested he found out that they harvested sacks of oranges how many days did it take to harvest them if they harvested sacks of oranges per day,3
808,Division,he then went to see the oranges being harvested he found out that they harvested sacks of oranges how many sacks did they harvest per day if they harvested for a total of days,3
108,Subtraction,heather has oranges russell takes away how many oranges will heather have,1
100,Subtraction,heather starts with blocks she shares with jose how many blocks does heather end with,1
233,Subtraction,heather weighs pounds emily weighs pounds elizabeth weighs pounds how much heavier is heather than emily,1
95,Subtraction,helen starts with cards gary takes away how many cards does helen end with,1
109,Addition,helen starts with oranges she gets more from ann how many oranges does helen end with,2
347,Addition,helen the hippo and her friends are preparing for thanksgiving at helens house helen baked chocolate chip cookies and raisin cookies yesterday and she baked raisin cookies and chocolate chip cookies this morning how many chocolate chip cookies did helen bake,2
290,Subtraction,helen the hippo and her friends are preparing for thanksgiving at helens house helen baked chocolate chip cookies and raisin cookies yesterday and she baked raisin cookies and chocolate chip cookies this morning how many more chocolate chip cookies did helen bake yesterday compared to today,1
